Date,Open,High,Low,Close,Volume,Adj Close
2016-12-02,2191.120117,2197.949951,2188.370117,2191.949951,3779500000,2191.949951
2016-12-01,2200.169922,2202.600098,2187.439941,2191.080078,5063740000,2191.080078
2016-11-30,2204.969971,2214.100098,2198.810059,2198.810059,5533980000,2198.810059
2016-11-29,2200.76001,2210.459961,2198.149902,2204.659912,3706560000,2204.659912
2016-11-28,2210.209961,2211.139893,2200.360107,2201.719971,3505650000,2201.719971
2016-11-25,2206.27002,2213.350098,2206.27002,2213.350098,1584600000,2213.350098
2016-11-23,2198.550049,2204.719971,2194.51001,2204.719971,3418640000,2204.719971
2016-11-22,2201.560059,2204.800049,2194.51001,2202.939941,3957940000,2202.939941
2016-11-21,2186.429932,2198.699951,2186.429932,2198.179932,3607010000,2198.179932
2016-11-18,2186.850098,2189.889893,2180.379883,2181.899902,3572400000,2181.899902
2016-11-17,2178.610107,2188.060059,2176.649902,2187.120117,3809160000,2187.120117
2016-11-16,2177.530029,2179.219971,2172.199951,2176.939941,3830590000,2176.939941
2016-11-15,2168.290039,2180.840088,2166.379883,2180.389893,4543860000,2180.389893
2016-11-14,2165.639893,2171.360107,2156.080078,2164.199951,5367200000,2164.199951
2016-11-11,2162.709961,2165.919922,2152.48999,2164.449951,4988050000,2164.449951
2016-11-10,2167.48999,2182.300049,2151.169922,2167.47998,6451640000,2167.47998
2016-11-09,2131.560059,2170.100098,2125.350098,2163.26001,6264150000,2163.26001
2016-11-08,2129.919922,2146.870117,2123.560059,2139.560059,3916930000,2139.560059
2016-11-07,2100.590088,2132.00,2100.590088,2131.52002,3736060000,2131.52002
2016-11-04,2083.790039,2099.070068,2083.790039,2085.179932,3837860000,2085.179932
2016-11-03,2098.800049,2102.560059,2085.22998,2088.659912,3886740000,2088.659912
