"","Keuwl","Accelerometer","Data","File","","42706.0","14-13-01"
"Number","Time(s)","X(g)","Y(g)","Z(g)","R(g)","Theta(deg)","Phi(deg)"
"70.0","11.190001","-0.011714748","0.94303715","0.13276714","0.95240927","81.98679","90.711716"
"71.0","11.221001","-0.005857374","0.9371798","0.13081467","0.9462837","82.05396","90.35809"
"72.0","11.250001","-0.01952458","0.9303462","0.11519502","0.9376541","82.94313","91.202255"
"73.0","11.250001","-0.04490653","0.91863143","0.1513155","0.93209267","80.65728","92.79863"
"74.0","11.284","-0.033191785","0.8922733","0.2020794","0.9154722","77.24763","92.13037"
"75.0","11.317","-0.123004854","0.873725","0.18938842","0.90243757","77.885666","98.01356"
"76.0","11.317","-0.06345488","0.9235126","0.14643435","0.9372006","81.0109","93.93063"
"77.0","11.348001","-0.024405725","0.9859913","0.13667206","0.9957177","82.11068","91.41792"
"78.0","11.351001","-0.00097622897","1.0094208","0.117147475","1.0161961","83.3802","90.05541"
"79.0","11.382001","-0.005857374","0.9928249","0.14252943","1.0030206","81.830605","90.33803"
"80.0","11.39","-0.016595893","0.9479183","0.20012695","0.9689558","78.08041","91.00301"
"81.0","11.4140005","-0.04490653","0.9283937","0.18255483","0.9472369","78.88823","92.76925"
"82.0","11.446","-0.03807293","0.9830626","0.107385196","0.989643","83.77062","92.217896"
"83.0","11.451","-0.011714748","1.0484699","0.03904916","1.0492622","87.867195","90.64015"
"84.0","11.479","-0.017572122","1.0367552","0.08005078","1.0399896","85.58543","90.97102"
"85.0","11.490001","-0.053692598","0.9449896","0.17084008","0.96180797","79.76861","93.251945"
"86.0","11.512","-0.0605262","0.90496427","0.18645974","0.92595404","78.38289","93.82638"
"87.0","11.545","-0.035144243","0.9449896","0.1483868","0.9572143","81.08208","92.12985"
"88.0","11.55","-0.017572122","0.9654905","0.12983845","0.97434014","82.34211","91.04268"
"89.0","11.580001","-0.034168016","0.94206095","0.16791138","0.9575179","79.90033","92.07717"
"90.0","11.614","-0.059549972","0.90496427","0.17669745","0.9239743","78.97506","93.76485"
"91.0","11.614","-0.029286869","0.95475197","0.11519502","0.9621221","83.123474","91.75699"
"92.0","11.647","0.0039049159","0.96451426","0.052716363","0.9659617","86.87159","89.768036"
"93.0","11.650001","-0.020500809","0.9459658","0.07516963","0.94916916","85.457695","91.24151"
"94.0","11.679001","-0.05759751","0.9449896","0.03807293","0.9475085","87.69711","93.487885"
"95.0","11.691001","-0.10640897","0.93522733","-0.13960074","0.9515574","98.43618","96.49113"
"96.0","11.712001","0.08005078","0.91570276","0.09664667","0.924262","83.99782","85.0039"
"97.0","11.774","-0.07614586","0.8834872","0.23917611","0.9184515","74.90547","94.926025"
"98.0","11.774","0.01854835","0.9098454","-0.03904916","0.91087186","92.45703","88.832115"
"99.0","11.774","0.073217176","0.95377576","-0.04002539","0.957419","92.39598","85.61027"
"100.0","11.791","0.027334413","0.9859913","0.06345488","0.98840904","86.31914","88.41201"
"101.0","11.811001","-0.0039049159","1.0201592","0.07516963","1.0229324","85.78585","90.219315"
"102.0","11.843","0.014643434","1.0035634","0.08786061","1.0075086","84.99712","89.16403"
"103.0","11.851001","0.0302631","0.9518233","0.07809832","0.9555013","85.311676","88.1789"
"104.0","11.876","0.05662128","0.91375035","0.059549972","0.9174377","86.27837","86.454155"
"105.0","11.892","0.043930303","0.86884385","0.031239327","0.87051445","87.943436","87.105484"
"106.0","11.911","0.03904916","0.87860614","0.017572122","0.879649","88.85537","87.45519"
"107.0","11.931001","0.035144243","0.9088692","0.023429496","0.9098502","88.524414","87.78558"
"108.0","11.951","0.02831064","0.86982006","0.00976229","0.8703354","89.357315","88.13581"
"109.0","11.9800005","0.012690976","0.8747012","0.0078098318","0.8748281","89.488495","89.168755"
"110.0","11.992001","0.0156196635","0.89813066","-0.00976229","0.8983195","90.62266","89.003654"
"111.0","12.015","0.034168016","0.90496427","-0.026358182","0.90599257","91.66715","87.83775"
"112.0","12.031","0.05759751","0.9127741","-0.026358182","0.91496927","91.65079","86.38933"
"113.0","12.05","0.026358182","0.93620354","0.016595893","0.93672156","88.98484","88.3873"
"114.0","12.071","0.04490653","0.9859913","0.01952458","0.9872065","88.86675","87.39229"
"115.0","12.092001","0.09274176","1.0211354","-0.027334413","1.0257026","91.527084","84.81051"
"116.0","12.122001","0.093717985","1.0592085","-0.032215554","1.0638344","91.73532","84.94368"
"117.0","12.1310005","0.07614586","1.0504224","0.004881145","1.0531901","89.73445","85.85384"
"118.0","12.157001","0.08590815","1.0504224","0.010738519","1.0539843","89.41623","85.32451"
"119.0","12.1710005","0.090789296","1.0318741","-0.002928687","1.0358646","90.161995","84.97179"
"120.0","12.194","0.10933765","1.0035634","-0.03904916","1.0102569","92.21519","83.78218"
"121.0","12.211","0.1181237","0.9928249","-0.059549972","1.0015991","93.40852","83.215"
"122.0","12.2300005","0.11226633","0.9772052","-0.046858992","0.9847484","92.72743","83.4463"
"123.0","12.251","0.09176553","0.9586569","-0.026358182","0.9633995","91.56778","84.532135"
"124.0","12.27","0.07614586","0.93327487","-0.0302631","0.93686503","91.85112","85.33557"
"125.0","12.304001","0.077122085","0.91570276","-0.055645052","0.9206279","93.46521","85.185814"
"126.0","12.311001","0.07224095","0.9108216","-0.07809832","0.9170137","94.88557","85.46513"
"127.0","12.341001","0.088836834","0.92156017","-0.0605262","0.92780846","93.74039","84.4938"
"128.0","12.351001","0.07809832","0.8991069","-0.023429496","0.9027965","91.487114","85.03563"
"129.0","12.378","0.084931925","0.9059405","-0.002928687","0.90991765","90.18442","84.64417"
"130.0","12.415001","0.099575356","0.93620354","-0.02831064","0.9419097","91.72238","83.9288"
"131.0","12.431001","0.12983845","0.9693954","-0.08590815","0.98181754","95.019745","82.371346"
"132.0","12.452001","0.1415532","0.9791577","-0.09859913","0.99423784","95.69141","81.77395"
"133.0","12.472","0.14057697","0.98111016","-0.090789296","0.9952797","95.23379","81.845955"
"134.0","12.491","0.119099945","0.9938011","-0.0605262","1.0027406","93.46052","83.16611"
"135.0","12.529","0.119099945","0.98892","-0.045882765","0.9971222","92.637405","83.13269"
"136.0","12.531","0.119099945","0.98208636","-0.05662128","0.99090075","93.275734","83.08537"
"137.0","12.567","0.13081467","0.9772052","-0.084931925","0.9895736","94.92357","82.37537"
"138.0","12.570001","0.13471961","0.98892","-0.0741934","1.000808","94.251434","82.24241"
"139.0","12.6050005","0.14057697","0.9967298","-0.071264714","1.0091139","94.04966","81.97205"
"140.0","12.611001","0.1444819","0.9938011","-0.08005078","1.0074342","94.55753","81.72812"
"141.0","12.645","0.13569583","0.9684192","-0.071264714","0.9804732","94.16816","82.02359"
"142.0","12.651001","0.13667206","0.9518233","-0.058573738","0.96336794","93.485794","81.828766"
"143.0","12.682","0.12593354","0.93327487","-0.046858992","0.94289815","92.84859","82.31509"
"144.0","12.691001","0.12398108","0.9313224","-0.05662128","0.9412432","93.44876","82.41716"
"145.0","12.719001","0.12007617","0.9449896","-0.06443111","0.95476437","93.86948","82.75845"
"146.0","12.731001","0.1415532","0.93522733","-0.06638357","0.94820577","94.01454","81.39321"
